PlantID	host	hostCon	hostAdZ	hostCeZ	X	Y	Height	Length	Width	logsize	Green	Grey	Red	Striped	total	occupied	logtotal	greenpro	C1N	C2N	C10N	C1A	C2A	C10A	q1N	q2N	q10N	q1A	q2A	q10A	C2NA	C2NC	q2NA	q2NC
A80	A	-1	0	1	6.25	39.25	90	150	110	6.171726454	0	0	0	1	1	1	0.301029996	0	0.569	0.464	0.211	0.951	0.857	0.361	0.39	0.357	0.441	0.231	0.196	0.252	0.148	0.316	0.14	0.458
A81	A	-1	0	1	4.75	38	50	20	50	4.698970004	0	0	0	0	0	0	0	0	0.209	0.289	0.199	0.851	0.727	0.353	0.37	0.349	0.437	0.09	0.156	0.25	0.08	0.209	0.114	0.439
A82	A	-1	0	1	6.25	33.75	90	70	60	5.5774918	0	0	0	0	0	0	0	0	0.581	0.449	0.232	1.509	1.017	0.422	0.389	0.4	0.439	0.356	0.314	0.267	0.028	0.421	0.151	0.416
A83	A	-1	0	1	6	34.75	80	90	110	5.898725182	0	0	0	0	0	0	0	0	0.364	0.393	0.226	1.184	0.939	0.408	0.288	0.366	0.439	0.2	0.247	0.263	0.036	0.357	0.152	0.387
A84	A	-1	0	1	8.25	39	120	160	120	6.362482475	1	0	0	2	3	1	0.602059991	0.333333333	0.794	0.624	0.233	1.158	0.987	0.389	0.324	0.36	0.445	0.206	0.194	0.25	0.154	0.47	0.086	0.449
A85	A	-1	0	1	11.25	37.25	130	180	200	6.670245853	0	0	0	1	1	1	0.301029996	0	0.564	0.701	0.271	0.604	0.797	0.433	0.433	0.459	0.457	0.254	0.263	0.269	0.069	0.632	0.218	0.486
A86	A	-1	0	1	23.5	37.25	100	140	140	6.292256071	0	0	0	0	0	0	0	0	0.65	0.512	0.242	0.551	0.629	0.385	0.634	0.569	0.47	0.508	0.387	0.301	0.027	0.486	0.452	0.575
A87	A	-1	0	1	23	33	130	140	150	6.436162647	1	0	0	1	2	1	0.477121255	0.5	0.554	0.622	0.279	0.888	0.916	0.457	0.55	0.533	0.461	0.334	0.343	0.295	0.116	0.506	0.456	0.55
A88	A	-1	0	1	22.75	34.5	120	180	120	6.413634997	0	0	0	0	0	0	0	0	0.668	0.635	0.273	0.84	0.865	0.44	0.595	0.553	0.466	0.462	0.396	0.302	0.096	0.539	0.463	0.569
A89	A	-1	0	1	25.25	33.5	100	80	70	5.748188027	0	0	0	0	0	0	0	0	0.402	0.526	0.255	0.549	0.769	0.418	0.547	0.53	0.461	0.418	0.382	0.306	0.118	0.408	0.457	0.551
A90	A	-1	0	1	29.5	36.75	140	110	120	6.266701967	0	0	0	0	0	0	0	0	0.339	0.271	0.181	0.614	0.487	0.302	0.334	0.432	0.462	0.258	0.3	0.306	0.014	0.257	0.373	0.436
A91	A	-1	0	1	5.5	43	50	60	70	5.322219295	0	0	0	1	1	1	0.301029996	0	0.402	0.312	0.179	0.479	0.513	0.3	0.024	0.174	0.439	0.024	0.101	0.242	0.225	0.087	0.046	0.506
A92	A	-1	0	1	6.5	43.75	70	100	100	5.84509804	0	0	0	8	8	1	0.954242509	0	0.082	0.178	0.173	0.469	0.504	0.299	0.129	0.365	0.469	0.028	0.115	0.245	0.079	0.099	0.16	0.528
A93	A	-1	0	1	8	40.25	60	120	90	5.811575006	0	0	0	3	3	1	0.602059991	0	0.506	0.518	0.221	1.014	0.898	0.368	0.356	0.38	0.452	0.229	0.215	0.255	0.182	0.336	0.201	0.477
A94	A	-1	0	1	7.5	42	110	80	160	6.148602655	0	0	0	0	0	0	0	0	0.383	0.438	0.207	0.583	0.659	0.334	0.122	0.268	0.441	0.097	0.159	0.25	0.247	0.191	0.081	0.508
A95	A	-1	0	1	10	40.5	110	150	100	6.217483944	1	0	0	2	3	1	0.602059991	0.333333333	0.511	0.604	0.237	0.626	0.735	0.375	0.437	0.44	0.455	0.278	0.243	0.255	0.129	0.476	0.105	0.53
A96	A	-1	0	1	6.5	49	160	180	260	6.874365836	2	0	0	1	3	1	0.602059991	0.666666667	0.088	0.191	0.141	0.395	0.443	0.227	0.29	0.413	0.455	0.029	0.083	0.22	0.057	0.133	0.011	0.585
A97	A	-1	0	1	8.25	50.5	180	80	60	5.936513742	0	0	0	1	1	1	0.301029996	0	0.214	0.287	0.141	0.231	0.324	0.212	0.58	0.552	0.475	0.495	0.364	0.256	0.056	0.231	0.455	0.575
A98	A	-1	0	1	4	46.75	60	60	60	5.334453751	0	0	0	0	0	0	0	0	0.087	0.15	0.142	0.365	0.401	0.238	0.156	0.291	0.447	0.073	0.124	0.236	0.102	0.048	0.156	0.576
A99	A	-1	0	1	4.75	48	100	100	140	6.146128036	0	0	0	1	1	1	0.301029996	0	0.094	0.165	0.139	0.536	0.489	0.231	0.542	0.451	0.458	0.189	0.182	0.239	0.089	0.076	0.333	0.59
A100	A	-1	0	1	3.25	50	70	80	60	5.526339277	0	0	0	0	0	0	0	0	0.091	0.165	0.119	0.507	0.463	0.197	0.509	0.505	0.461	0.08	0.141	0.234	0.053	0.111	0.277	0.614
A101	A	-1	0	1	4.5	50.5	130	80	100	6.017033339	0	0	0	0	0	0	0	0	0.188	0.238	0.125	0.559	0.506	0.201	0.565	0.534	0.466	0.172	0.198	0.239	0.068	0.17	0.337	0.613
A102	A	-1	0	1	2.25	52.5	50	70	100	5.544068044	0	0	0	0	0	0	0	0	0.212	0.208	0.1	0.429	0.373	0.163	0.516	0.544	0.47	0.121	0.163	0.234	0.034	0.173	0.15	0.622
A103	A	-1	0	1	2.25	54	110	150	180	6.472756449	0	0	0	1	1	1	0.301029996	0	0.2	0.193	0.091	0.321	0.281	0.145	0.624	0.61	0.482	0.179	0.21	0.239	0.009	0.184	0.343	0.623
A104	A	-1	0	1	8.25	9.75	160	90	80	6.061452479	0	0	0	0	0	0	0	0	0.117	0.264	0.194	0.298	0.565	0.403	0.537	0.425	0.375	0.677	0.476	0.294	0.139	0.125	0.272	0.595
A105	A	-1	0	1	10.75	9	120	130	110	6.234517284	1	0	0	0	1	1	0.301029996	1	0.183	0.354	0.208	0.425	0.691	0.422	0.455	0.367	0.364	0.334	0.313	0.272	0.221	0.132	0.212	0.627
A106	A	-1	0	1	12.5	5.25	130	80	60	5.79518459	0	0	0	2	2	1	0.477121255	0	0.148	0.185	0.168	0.514	0.584	0.356	0.63	0.487	0.372	0.432	0.362	0.288	0.077	0.108	0.29	0.627
